product,category,sub_category,brand,sale_price,market_price,type,rating,description,invalid_price,price_difference,price_category,demand_tier
garlic oil - vegetarian capsule 500 mg,beauty & hygiene,hair care,sri sri ayurveda,220.0,220.0,hair oil & serum,4.1,"this product contains garlic oil that is known to help proper digestion, maintain proper cholesterol levels, support cardiovascular and also build immunity.  for beauty tips, tricks & more visit https://bigbasket.blog/",True,0.00,Medium,Medium Demand
water bottle - orange,"kitchen, garden & pets",storage & accessories,mastercook,180.0,180.0,water & fridge bottles,2.3,"each product is microwave safe (without lid), refrigerator safe, dishwasher safe and can also be used for re-heating food and not for cooking. all containers come with airtight lids and a wide variety of attractive colours. stack these stylish and colourful containers in your kitchen with ease and for a look-good factor.",True,0.00,Medium,Low Demand
"brass angle deep - plain, no.2",cleaning & household,pooja needs,trm,119.0,250.0,lamp & lamp oil,3.4,"a perfect gift for all occasions, be it your mother, sister, in-laws, boss or your friends, this beautiful designer piece wherever placed, is sure to beautify the surroundings traditional design this type diya has been used for diwali and all other festivals for centuries. sturdy and easy to carry the feet keep it balanced to ensure safety. wonderful oil lamp made in brass also called as jyoti. this is a handcrafted piece of indian brass deepak.",False,131.00,Medium,Medium Demand
cereal flip lid container/storage jar - assorted colour,cleaning & household,bins & bathroom ware,nakoda,149.0,176.0,"laundry, storage baskets",3.7,"multipurpose container with an attractive design and made from food-grade plastic for your hygiene and safety ideal for storing pulses. grains, spices, and more with easy opening and closing flip-open lid. strong, durable and transparent body for longevity and easy identification of contents. multipurpose storage solution for your daily needs stores your everyday food essentials in style with the nakoda container set. with transparent bodies, you can easily identify your stored items without having to open the lids. these containers are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. featuring unique flip-open lids, you can easily open and close this container without any hassles.
the nakoda container is made from high-quality food-grade and bpa-free plastic that is 100% safe for storing food items. you can safely store your food items in this container without worrying about contamination and harmful toxins. as they are constructed using highly durable virgin plastic, this container will last for a long time even with regular use. this container can enhance the overall look of your kitchen decor. being dishwasher safe, cleaning and maintaining this container is an easy task. you can also use a simple soap solution to manually wash and retain their looks for a long time.",False,27.00,Medium,Medium Demand
creme soft soap - for hands & body,beauty & hygiene,bath & hand wash,nivea,162.0,162.0,bathing bars & soaps,4.4,"nivea creme soft soap gives your skin the best care that it must get. the soft bar consists of vitamins f and almonds which are really skin gracious and help you get great skin. it provides the skin with moisture and leaves behind flawless and smooth skin. it makes sure that your body is totally free of germs & dirt and at the same time well nourished.for beauty tips, tricks & more visit https://bigbasket.blog/",True,0.00,Medium,Medium Demand
germ - removal multipurpose wipes,cleaning & household,all purpose cleaners,nature protect,169.0,199.0,disinfectant spray & cleaners,3.3,"stay protected from contamination with multipurpose germ removal wipes by nature protect, a quality product by hindustan unilever limited, the makers of surf excel and lifebuoy. infused with neem extract nature protect multipurpose germ removal wipes helps in cleaning and 99.9% germ removal^. neem extracts are known to have the power of 100 bio-actives with both anti-viral and anti-bacterial capabilities.
wipes made from 100% biodegradable fabric and balanced with skin’s ph level, our on-the-go hygiene wipes are safe to use on not just surfaces, but human skin, so you can disinfect any exposed parts of your body – such as your hands, elbows, or wrists – as well as the surfaces they’ve touched.  a thorough cleaning with on-the-go hygiene wipes helps in keeping surfaces hygienically clean, both inside and outside your home. packaged neatly to enable quick, easy removal, these on-the-go hygiene wipes will help you stay protected whether you stay indoors or move out and about.
^ as per lab test conducted on representative organisms.* always spot test on hidden area to check compatibility.",False,30.00,Medium,Medium Demand
multani mati,beauty & hygiene,skin care,satinance,58.0,58.0,face care,3.6,"satinance multani matti is an excellent skin toner and astringent. reduces oiliness and while nourishing the skin, keeps it soft and grime. improves complexion by facilitating better blood circulation.  for beauty tips, tricks & more visit https://bigbasket.blog/",True,0.00,Low,Medium Demand
hand sanitizer - 70% alcohol base,beauty & hygiene,bath & hand wash,bionova,250.0,250.0,hand wash & sanitizers,4.0,70%alcohol based is gentle of hand leaves skin soft and moist with a good fragrance. it is really safe for the skin.,True,0.00,Medium,Medium Demand
biotin & collagen volumizing hair shampoo + biotin & collagen hair conditioner,beauty & hygiene,hair care,stbotanica,1098.0,1098.0,shampoo & conditioner,3.5,"an exclusive blend with vitamin b7 biotin, hydrolyzed collagen, oat extract along with premium & organic cold-pressed ingredients helps to infuse nutrients into every strand and creates the appearance of thicker, fuller healthier looking hair. this powerful formula helps volumize even the skinniest strands into fuller and more abundant looking locks. it is safe for color-treated hair and safe for all hair types. st botanica biotin & collagen hair conditioner has been specially formulated to repair dry & damaged hair for full, thick, voluminous, shiny & healthy looking hair! the amazing hair conditioner ingredients include biotin, hydrolyzed collagen, pro-vitamin b5, vitamin e, & hydrolyzed silk proteins for glistening looking hair. biotin and collagen, infused with most efficacious natural extracts not only promotes healthy hair growth but also prevents hair dryness, increases the elasticity of the hair cortex, thereby strengthening hair, minimizing hair breakage and helping hair grow longer, healthier and thicker. plump it up: the nutrient-rich, plump-it-up power of this haircare infused with provitamin b7 biotin and collagen helps give each strand of hair a beautiful boost, this dynamic duo will leave your hair feeling thicker, fuller, and looking oh, so healthy.",True,0.00,High,Medium Demand
"scrub pad - anti- bacterial, regular",cleaning & household,"mops, brushes & scrubs",scotch brite,20.0,20.0,"utensil scrub-pad, glove",4.3,"scotch brite anti- bacterial scrub pad thoroughly cleanses dishes and keeps the kitchen utensils squeaky clean with a pleasant neem fragrance. the scrub is gentle on the hands and does not wear off easily, while eliminating bacteria and making your utensils sparkle and look as good as new with every wash.",True,0.00,Low,Medium Demand
